URL,Provenance,Page Type,Location,Service,Sector,Historic Source,Historic Intent,Title,H1,Meta Description,Content Status,Internal Links,Conversion Type,Schema,Canonical,Sitemap Group,Similarity Check,Business Claims Verified,Restoration Status
"/bocker-crane-hire","LEGACY_VERIFIED","service","National","FM / M&E / Cleaning","Commercial","wix-generation-2","Commercial navigation or reference intent for Entire FM's bocker crane hire.","Bocker Crane Hire | Entire FM","Bocker Crane Hire","Entire FM — Bocker Crane Hire. Dedicated facilities management, mechanical & electrical engineering, and property maintenance services.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","specialist-services","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/bradford-facilities-management","LEGACY_PROTECTED_BY_DIRECTIVE","location","Bradford","FM / M&E / Cleaning","Commercial","wix-generation-1; wix-generation-2","Regional commercial search intent for facilities management services in Bradford and surrounding commercial corridors.","Bradford Facilities Management | Commercial Property Maintenance | Entire FM","Bradford Facilities Management & Building Maintenance","Entire FM provides dedicated facilities management across Bradford — hard FM, M&E engineering, PPM, cleaning, and 24/7 reactive callout support.","COMPLETE","4 related links","Embedded RFQ + Phone CTA","LocalBusiness","self","locations","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/building-inspecting-testing","LEGACY_VERIFIED","service","National","FM / M&E / Cleaning","Commercial","wix-generation-2","Commercial navigation or reference intent for Entire FM's building inspecting testing.","Building Inspecting Testing | Entire FM","Building Inspecting Testing","Entire FM — Building Inspecting Testing. Dedicated facilities management, mechanical & electrical engineering, and property maintenance services.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","hard-fm","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/building-maintenance","LEGACY_VERIFIED","service","National","FM / M&E / Cleaning","Commercial","wix-generation-1","Commercial navigation or reference intent for Entire FM's building maintenance.","Building Maintenance | Entire FM","Building Maintenance","Entire FM — Building Maintenance. Dedicated facilities management, mechanical & electrical engineering, and property maintenance services.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","hard-fm","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/caretaker","LEGACY_VERIFIED","service","National","FM / M&E / Cleaning","Commercial","wix-generation-1","Commercial navigation or reference intent for Entire FM's caretaker.","Caretaker | Entire FM","Caretaker","Entire FM — Caretaker. Dedicated facilities management, mechanical & electrical engineering, and property maintenance services.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","soft-fm","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/carpark-management","LEGACY_VERIFIED","service","National","FM / M&E / Cleaning","Commercial","wix-generation-1","Commercial navigation or reference intent for Entire FM's carpark management.","Carpark Management | Entire FM","Carpark Management","Entire FM — Carpark Management. Dedicated facilities management, mechanical & electrical engineering, and property maintenance services.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","soft-fm","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/chesterfield-facilities-management","LEGACY_PROTECTED_BY_DIRECTIVE","location","Chesterfield","FM / M&E / Cleaning","Commercial","wix-generation-1; wix-generation-2","Regional commercial search intent for facilities management services in Chesterfield and surrounding commercial corridors.","Chesterfield Facilities Management | Commercial Property Maintenance | Entire FM","Chesterfield Facilities Management & Building Maintenance","Entire FM provides dedicated facilities management across Chesterfield — hard FM, M&E engineering, PPM, cleaning, and 24/7 reactive callout support.","COMPLETE","4 related links","Embedded RFQ + Phone CTA","LocalBusiness","self","locations","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/cleaning-services","LEGACY_VERIFIED","service","National","FM / M&E / Cleaning","Commercial","wix-generation-1","Commercial navigation or reference intent for Entire FM's cleaning services.","Cleaning Services | Entire FM","Cleaning Services","Entire FM — Cleaning Services. Dedicated facilities management, mechanical & electrical engineering, and property maintenance services.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","cleaning","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/client-login","LEGACY_VERIFIED","company","National","FM / M&E / Cleaning","Commercial","wix-generation-2","Commercial navigation or reference intent for Entire FM's client login.","Client Login | Entire FM","Client Login","Entire FM — Client Login. Dedicated facilities management, mechanical & electrical engineering, and property maintenance services.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","company","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/client-login/account-registration","LEGACY_VERIFIED","company","National","FM / M&E / Cleaning","Commercial","wix-generation-2","Commercial navigation or reference intent for Entire FM's client login/account registration.","Client Login/Account Registration | Entire FM","Client Login/Account Registration","Entire FM — Client Login/Account Registration. Dedicated facilities management, mechanical & electrical engineering, and property maintenance services.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","company","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/commercial-cleaning-birmingham","LEGACY_VERIFIED","geographic-service","Birmingham","FM / M&E / Cleaning","Commercial","wix-generation-1","Hyper-targeted local service search intent combining Commercial Cleaning with Birmingham commercial properties.","Commercial Cleaning Birmingham | Specialist Commercial Services | Entire FM","Commercial Cleaning Birmingham","Professional commercial cleaning across Birmingham — specialist equipment, certified operatives, and tailored commercial service schedules.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","local-services","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/commercial-cleaning-chesterfield","LEGACY_VERIFIED","geographic-service","Chesterfield","FM / M&E / Cleaning","Commercial","wix-generation-1","Hyper-targeted local service search intent combining Commercial Cleaning with Chesterfield commercial properties.","Commercial Cleaning Chesterfield | Specialist Commercial Services | Entire FM","Commercial Cleaning Chesterfield","Professional commercial cleaning across Chesterfield — specialist equipment, certified operatives, and tailored commercial service schedules.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","local-services","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/commercial-cleaning-leeds","LEGACY_VERIFIED","geographic-service","Leeds","FM / M&E / Cleaning","Commercial","wix-generation-1","Hyper-targeted local service search intent combining Commercial Cleaning with Leeds commercial properties.","Commercial Cleaning Leeds | Specialist Commercial Services | Entire FM","Commercial Cleaning Leeds","Professional commercial cleaning across Leeds — specialist equipment, certified operatives, and tailored commercial service schedules.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","local-services","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/commercial-cleaning-lincoln","LEGACY_VERIFIED","geographic-service","Lincoln","FM / M&E / Cleaning","Commercial","wix-generation-1","Hyper-targeted local service search intent combining Commercial Cleaning with Lincoln commercial properties.","Commercial Cleaning Lincoln | Specialist Commercial Services | Entire FM","Commercial Cleaning Lincoln","Professional commercial cleaning across Lincoln — specialist equipment, certified operatives, and tailored commercial service schedules.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","local-services","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/commercial-cleaning-london","LEGACY_VERIFIED","geographic-service","London","FM / M&E / Cleaning","Commercial","wix-generation-1","Hyper-targeted local service search intent combining Commercial Cleaning with London commercial properties.","Commercial Cleaning London | Specialist Commercial Services | Entire FM","Commercial Cleaning London","Professional commercial cleaning across London — specialist equipment, certified operatives, and tailored commercial service schedules.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","local-services","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/commercial-cleaning-manchester","LEGACY_VERIFIED","geographic-service","Manchester","FM / M&E / Cleaning","Commercial","wix-generation-1","Hyper-targeted local service search intent combining Commercial Cleaning with Manchester commercial properties.","Commercial Cleaning Manchester | Specialist Commercial Services | Entire FM","Commercial Cleaning Manchester","Professional commercial cleaning across Manchester — specialist equipment, certified operatives, and tailored commercial service schedules.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","local-services","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/commercial-cleaning-nottingham","LEGACY_VERIFIED","geographic-service","Nottingham","FM / M&E / Cleaning","Commercial","wix-generation-1","Hyper-targeted local service search intent combining Commercial Cleaning with Nottingham commercial properties.","Commercial Cleaning Nottingham | Specialist Commercial Services | Entire FM","Commercial Cleaning Nottingham","Professional commercial cleaning across Nottingham — specialist equipment, certified operatives, and tailored commercial service schedules.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","local-services","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/commercial-cleaning-sheffield","LEGACY_VERIFIED","geographic-service","Sheffield","FM / M&E / Cleaning","Commercial","wix-generation-1","Hyper-targeted local service search intent combining Commercial Cleaning with Sheffield commercial properties.","Commercial Cleaning Sheffield | Specialist Commercial Services | Entire FM","Commercial Cleaning Sheffield","Professional commercial cleaning across Sheffield — specialist equipment, certified operatives, and tailored commercial service schedules.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","local-services","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/commercial-facilities-management","LEGACY_VERIFIED","sector","National","FM / M&E / Cleaning","Commercial","wix-generation-1; wix-generation-2","Sector-specific procurement intent from commercial operations directors seeking experienced FM contractors.","Commercial Facilities Management Solutions | Entire FM","Commercial Facilities Management","Specialized facilities management for the commercial sector — statutory compliance, asset uptime, M&E engineering, and cleaning.","COMPLETE","4 related links","Embedded RFQ + Phone CTA","Service","self","sectors","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/commercial-fm-lincoln","LEGACY_VERIFIED","location","Lincoln","FM / M&E / Cleaning","Commercial","wix-generation-1","Regional commercial search intent for facilities management services in Lincoln and surrounding commercial corridors.","Lincoln Facilities Management | Commercial Property Maintenance | Entire FM","Lincoln Facilities Management & Building Maintenance","Entire FM provides dedicated facilities management across Lincoln — hard FM, M&E engineering, PPM, cleaning, and 24/7 reactive callout support.","COMPLETE","4 related links","Embedded RFQ + Phone CTA","LocalBusiness","self","locations","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/concierge-services","LEGACY_VERIFIED","service","National","FM / M&E / Cleaning","Commercial","wix-generation-1","Commercial navigation or reference intent for Entire FM's concierge services.","Concierge Services | Entire FM","Concierge Services","Entire FM — Concierge Services. Dedicated facilities management, mechanical & electrical engineering, and property maintenance services.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","soft-fm","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/construction-facilities-management","LEGACY_VERIFIED","sector","National","FM / M&E / Cleaning","Commercial","wix-generation-1","Sector-specific procurement intent from construction operations directors seeking experienced FM contractors.","Construction Facilities Management Solutions | Entire FM","Construction Facilities Management","Specialized facilities management for the construction sector — statutory compliance, asset uptime, M&E engineering, and cleaning.","COMPLETE","4 related links","Embedded RFQ + Phone CTA","Service","self","sectors","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/contact-us","LEGACY_VERIFIED","company","National","FM / M&E / Cleaning","Commercial","wix-generation-2","Commercial navigation or reference intent for Entire FM's contact us.","Contact Us | Entire FM","Contact Us","Entire FM — Contact Us. Dedicated facilities management, mechanical & electrical engineering, and property maintenance services.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","company","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/contract-cleaning","LEGACY_VERIFIED","service","National","FM / M&E / Cleaning","Commercial","wix-generation-1","Commercial navigation or reference intent for Entire FM's contract cleaning.","Contract Cleaning | Entire FM","Contract Cleaning","Entire FM — Contract Cleaning. Dedicated facilities management, mechanical & electrical engineering, and property maintenance services.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","cleaning","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/contract-cleaning-chesterfield","LEGACY_VERIFIED","geographic-service","Chesterfield","FM / M&E / Cleaning","Commercial","wix-generation-1","Hyper-targeted local service search intent combining Contract Cleaning with Chesterfield commercial properties.","Contract Cleaning Chesterfield | Specialist Commercial Services | Entire FM","Contract Cleaning Chesterfield","Professional contract cleaning across Chesterfield — specialist equipment, certified operatives, and tailored commercial service schedules.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","local-services","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/contract-cleaning-leeds","LEGACY_VERIFIED","geographic-service","Leeds","FM / M&E / Cleaning","Commercial","wix-generation-1","Hyper-targeted local service search intent combining Contract Cleaning with Leeds commercial properties.","Contract Cleaning Leeds | Specialist Commercial Services | Entire FM","Contract Cleaning Leeds","Professional contract cleaning across Leeds — specialist equipment, certified operatives, and tailored commercial service schedules.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","local-services","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/contract-cleaning-lincoln","LEGACY_VERIFIED","geographic-service","Lincoln","FM / M&E / Cleaning","Commercial","wix-generation-1","Hyper-targeted local service search intent combining Contract Cleaning with Lincoln commercial properties.","Contract Cleaning Lincoln | Specialist Commercial Services | Entire FM","Contract Cleaning Lincoln","Professional contract cleaning across Lincoln — specialist equipment, certified operatives, and tailored commercial service schedules.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","local-services","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/contract-cleaning-london","LEGACY_VERIFIED","geographic-service","London","FM / M&E / Cleaning","Commercial","wix-generation-1","Hyper-targeted local service search intent combining Contract Cleaning with London commercial properties.","Contract Cleaning London | Specialist Commercial Services | Entire FM","Contract Cleaning London","Professional contract cleaning across London — specialist equipment, certified operatives, and tailored commercial service schedules.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","local-services","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/contract-cleaning-manchester","LEGACY_VERIFIED","geographic-service","Manchester","FM / M&E / Cleaning","Commercial","wix-generation-1","Hyper-targeted local service search intent combining Contract Cleaning with Manchester commercial properties.","Contract Cleaning Manchester | Specialist Commercial Services | Entire FM","Contract Cleaning Manchester","Professional contract cleaning across Manchester — specialist equipment, certified operatives, and tailored commercial service schedules.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","local-services","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/contract-cleaning-sheffield","LEGACY_VERIFIED","geographic-service","Sheffield","FM / M&E / Cleaning","Commercial","wix-generation-1","Hyper-targeted local service search intent combining Contract Cleaning with Sheffield commercial properties.","Contract Cleaning Sheffield | Specialist Commercial Services | Entire FM","Contract Cleaning Sheffield","Professional contract cleaning across Sheffield — specialist equipment, certified operatives, and tailored commercial service schedules.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","local-services","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/copy-of-helpdesk-registration","LEGACY_VERIFIED","company","National","FM / M&E / Cleaning","Commercial","wix-generation-1","Commercial navigation or reference intent for Entire FM's copy of helpdesk registration.","Copy Of Helpdesk Registration | Entire FM","Copy Of Helpdesk Registration","Entire FM — Copy Of Helpdesk Registration. Dedicated facilities management, mechanical & electrical engineering, and property maintenance services.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","company","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/copy-of-industrial-cleaning","LEGACY_VERIFIED","service","National","FM / M&E / Cleaning","Commercial","wix-generation-1","Commercial navigation or reference intent for Entire FM's copy of industrial cleaning.","Copy Of Industrial Cleaning | Entire FM","Copy Of Industrial Cleaning","Entire FM — Copy Of Industrial Cleaning. Dedicated facilities management, mechanical & electrical engineering, and property maintenance services.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","core","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/copy-of-what-is-facilities-manageme","LEGACY_VERIFIED","service","National","FM / M&E / Cleaning","Commercial","wix-generation-1","Commercial navigation or reference intent for Entire FM's copy of what is facilities manageme.","Copy Of What Is Facilities Manageme | Entire FM","Copy Of What Is Facilities Manageme","Entire FM — Copy Of What Is Facilities Manageme. Dedicated facilities management, mechanical & electrical engineering, and property maintenance services.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","core","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/derby-facilities-management","LEGACY_PROTECTED_BY_DIRECTIVE","location","Derby","FM / M&E / Cleaning","Commercial","wix-generation-1; wix-generation-2","Regional commercial search intent for facilities management services in Derby and surrounding commercial corridors.","Derby Facilities Management | Commercial Property Maintenance | Entire FM","Derby Facilities Management & Building Maintenance","Entire FM provides dedicated facilities management across Derby — hard FM, M&E engineering, PPM, cleaning, and 24/7 reactive callout support.","COMPLETE","4 related links","Embedded RFQ + Phone CTA","LocalBusiness","self","locations","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/education-cleaning","LEGACY_VERIFIED","service","National","FM / M&E / Cleaning","Commercial","wix-generation-1","Commercial navigation or reference intent for Entire FM's education cleaning.","Education Cleaning | Entire FM","Education Cleaning","Entire FM — Education Cleaning. Dedicated facilities management, mechanical & electrical engineering, and property maintenance services.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","cleaning","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/education-facilities-management","LEGACY_VERIFIED","sector","National","FM / M&E / Cleaning","Commercial","wix-generation-1","Sector-specific procurement intent from education operations directors seeking experienced FM contractors.","Education Facilities Management Solutions | Entire FM","Education Facilities Management","Specialized facilities management for the education sector — statutory compliance, asset uptime, M&E engineering, and cleaning.","COMPLETE","4 related links","Embedded RFQ + Phone CTA","Service","self","sectors","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/employment-portal","LEGACY_VERIFIED","company","National","FM / M&E / Cleaning","Commercial","wix-generation-1","Commercial navigation or reference intent for Entire FM's employment portal.","Employment Portal | Entire FM","Employment Portal","Entire FM — Employment Portal. Dedicated facilities management, mechanical & electrical engineering, and property maintenance services.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","company","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/external-cleaning-birmingham","LEGACY_VERIFIED","geographic-service","Birmingham","FM / M&E / Cleaning","Commercial","wix-generation-1","Hyper-targeted local service search intent combining External Cleaning with Birmingham commercial properties.","External Cleaning Birmingham | Specialist Commercial Services | Entire FM","External Cleaning Birmingham","Professional external cleaning across Birmingham — specialist equipment, certified operatives, and tailored commercial service schedules.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","local-services","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/external-cleaning-lincoln","LEGACY_VERIFIED","geographic-service","Lincoln","FM / M&E / Cleaning","Commercial","wix-generation-1","Hyper-targeted local service search intent combining External Cleaning with Lincoln commercial properties.","External Cleaning Lincoln | Specialist Commercial Services | Entire FM","External Cleaning Lincoln","Professional external cleaning across Lincoln — specialist equipment, certified operatives, and tailored commercial service schedules.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","local-services","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/external-cleaning-london","LEGACY_VERIFIED","geographic-service","London","FM / M&E / Cleaning","Commercial","wix-generation-1","Hyper-targeted local service search intent combining External Cleaning with London commercial properties.","External Cleaning London | Specialist Commercial Services | Entire FM","External Cleaning London","Professional external cleaning across London — specialist equipment, certified operatives, and tailored commercial service schedules.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","local-services","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/external-cleaning-manchester","LEGACY_VERIFIED","geographic-service","Manchester","FM / M&E / Cleaning","Commercial","wix-generation-1","Hyper-targeted local service search intent combining External Cleaning with Manchester commercial properties.","External Cleaning Manchester | Specialist Commercial Services | Entire FM","External Cleaning Manchester","Professional external cleaning across Manchester — specialist equipment, certified operatives, and tailored commercial service schedules.","COMPLETE","3 related links","Embedded RFQ + Phone CTA","Service","self","local-services","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/facilities-management-birmingham","LEGACY_VERIFIED","location","Birmingham","FM / M&E / Cleaning","Commercial","wix-generation-1; wix-generation-2","Regional commercial search intent for facilities management services in Birmingham and surrounding commercial corridors.","Birmingham Facilities Management | Commercial Property Maintenance | Entire FM","Birmingham Facilities Management & Building Maintenance","Entire FM provides dedicated facilities management across Birmingham — hard FM, M&E engineering, PPM, cleaning, and 24/7 reactive callout support.","COMPLETE","4 related links","Embedded RFQ + Phone CTA","LocalBusiness","self","locations","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
"/facilities-management-blog","LEGACY_VERIFIED","post","National","FM / M&E / Cleaning","Commercial","wix-generation-1","Informational search intent from property professionals researching FM industry best practices and compliance.","Facilities Management Blog | Facilities Management Insights | Entire FM","Facilities Management Blog","Read Entire FM’s comprehensive industry guide on facilities management blog for UK commercial property and estate managers.","COMPLETE","4 related links","Embedded RFQ + Phone CTA","Article","self","insights","PASS (Differentiated)","Guarded by BUSINESS-CLAIMS-VERIFICATION.md","RESTORED"
